investigation,comp_0,comp_1
ACCx,0.4948855107372293,0.3985093497956942
BLCA,2.420568707873525,0.060963018535381996
BRCA,2.353721244580763,0.08407637447225698
CESC,2.123311383261259,0.12789095356429248
CHOL,1.77032947653676,0.21689138050918827
COAD,2.8161605278702404,0.01397938654671743
ESCA,2.025138341645581,0.1409039023712145
GBMx,0.032502982558672594,0.5007167096016067
HNSC,1.69933024983831,0.1779411947891655
KIRC,0.2262006059873004,0.511018191697209
KIRP,0.07916865720243761,0.5350288154992152
LGGx,0.0,0.4722329059447115
LIHC,1.0437188617572777,0.3021471201190137
LUAD,2.157115989437186,0.1323067333632102
LUSC,1.8777499652945548,0.16802983559974574
MESO,0.7484512037132391,0.3680108984251022
PCPG,0.4981356996735787,0.3717098853295353
PRAD,2.5720052728690654,0.048895024763903755
SKCM,0.4886807015382442,0.37012977086152876
STAD,2.432594333858157,0.07883136330731559
TGCT,1.050148034461248,0.2928385430966423
THCA,0.6843429312775482,0.36826713379824033
UCEC,1.9679975331705393,0.15261443943587685
